Deutsch;Englisch;x;Systemnotitzen
jetzt;now;;
heute;today;;
morgen;tomorrow;;
gestern;yesterday;;
Sekunde;second;;
Minute;minute;;
Stunde;hour;;
Tag;day;;
Woche;week;;
Monat;month;;
Jahr;year;;
früh;early;;
spät;late;;
Montag;Monday;;
Dienstag;Tuesday;;
Mittwoch;Wednesday;;
Donnerstag;Thursday;;
Freitag;Friday;;
Samstag;Saturday;;
Sonntag;Sunday;;
Frühling;spring;;
Sommer;summer;;
Herbst;fall (amerik.) / autumn (brit.);;
Winter;winter;;
Januar;January;;
Februar;February;;
März;March;;
April;April;;
Mai;May;;
Juni;June;;
Juli;July;;
August;August;;
September;September;;
Oktober;October;;
November;November;;
Dezember;December;;
Uhrzeit;time;;
Wie spät ist es?;What time is it?;;
Jahrzehnt;decade;;
Jahrhundert;century;;
Orte;Locations;;
Supermarkt;grocery store;;
Krankenhaus;hospital;;
Bank;bank;;
Hotel;hotel;;
Bar;bar;;
Apotheke;pharmacy;;
Strand;beach;;
Restaurant;restaurant;;
Flughafen;airport;;
Bäckerei;bakery;;
Bushaltestelle;bus station;;
Kirche;church;;
Kino;cinema;;
Tankstelle;gas station;;
Museum;museum;;
Polizeistation;police station;;
Schule;school;;
Platz;square;;
Supermarkt;supermarket;;
Zoo;zoo;;
